siRNA_reference,number
Ref_1,0
Ref_2,0
Ref_3,0
Ref_4,0
Ref_5,0
Ref_6,0
Ref_7,0
Ref_8,0
Ref_9,0
Ref_10,0
Ref_11,0
Ref_12,0
Ref_13,0
Ref_14,0
Ref_15,0
Ref_16,0
Ref_17,0
Ref_18,0
Ref_19,0
Ref_20,0
Ref_21,0
Ref_22,0
Ref_23,0
Ref_24,0
Ref_25,0
Ref_26,0
Ref_27,0
Ref_28,0
Ref_29,0
Ref_30,0
Ref_31,0
Ref_32,0
Ref_33,0
Ref_34,0
Ref_35,0
Ref_36,0
Ref_37,0
Ref_38,0
Ref_39,0
Ref_40,0
Ref_41,0
Ref_42,0
Ref_43,0
Ref_44,0
Ref_45,0
Ref_46,0
Ref_47,0
Ref_48,0
Ref_49,0
Ref_50,0
Ref_51,0
Ref_52,0
Ref_53,0
Ref_54,0
Ref_55,0
Ref_56,0
Ref_57,0
Ref_58,0
Ref_59,0
Ref_60,0
Ref_61,1
Ref_62,0
Ref_63,1
Ref_64,0
Ref_65,0
Ref_66,0
Ref_67,0
Ref_68,0
Ref_69,0
Ref_70,0
Ref_71,0
Ref_72,0
Ref_73,0
Ref_74,0
Ref_75,0
Ref_76,0
Ref_77,0
Ref_78,0
Ref_79,0
Ref_80,0
Ref_81,0
Ref_82,0
Ref_83,0
Ref_84,0
Ref_85,0
Ref_86,0
Ref_87,0
Ref_88,0
Ref_89,0
Ref_90,0
Ref_91,0
Ref_92,0
Ref_93,4
Ref_94,0
Ref_95,0
Ref_96,0
Ref_97,0
Ref_98,1
Ref_99,0
Ref_100,0
Ref_101,0
Ref_102,0
Ref_103,0
Ref_104,0
Ref_105,0
Ref_106,0
Ref_107,1
Ref_108,0
Ref_109,0
Ref_110,0
Ref_111,0
Ref_112,0
Ref_113,0
Ref_114,0
Ref_115,0
Ref_116,0
Ref_117,0
Ref_118,0
Ref_119,0
Ref_120,0
Ref_121,0
Ref_122,0
Ref_123,0
